Metric,Value
URL,https://www.floow.design/
Status Code,200
OnPage Score,100/100
Title,"floow.design – Design mobile apps with AI | floow.design"
Title Length,56
Meta Description,"Design mobile apps with AI in seconds. Generate pixel-perfect iOS & Android screens, export to Figma, and ship faster. Used by 1,000+ designers & teams."
Description Length,152
Canonical URL,https://www.floow.design/
Is HTTPS,Yes
Is WWW,Yes
Has HTML Doctype,Yes
SEO Friendly URL,Yes
SEO Friendly URL Characters,Yes
SEO Friendly URL Dynamic Check,Yes
SEO Friendly URL Keywords Check,Yes
Content Encoding,br (Brotli)
Server,Vercel
Total DOM Size (bytes),266550
Encoded Size (bytes),31667
Plain Text Size (bytes),3099
Plain Text Word Count,490
Plain Text Rate,0.012
Low Content Rate,Yes
Internal Links Count,6
Scripts Count,15
Render Blocking Scripts,1
Render Blocking Stylesheets,2
Cumulative Layout Shift,0
H1 Tag,"Design mobile apps with AI, in seconds"
H2 Tags Count,5
H3 Tags Count,6
Meta Keywords,"AI mobile app design,AI prototype generator,mobile app design tool,AI app mockup,AI UI design,mobile app design AI,app design generator,Figma AI design,iOS app design,Android app design"
OG Title,"floow.design – Design mobile apps with AI, in seconds"
OG Description,"Design mobile apps with AI in seconds. Generate pixel-perfect iOS & Android screens, export to Figma, and ship faster. Used by 1,000+ designers & teams."
OG URL,https://www.floow.design
Twitter Card,summary_large_image
Twitter Title,floow.design – Design mobile apps with AI
Twitter Description,"Design mobile apps with AI in seconds. Generate pixel-perfect iOS & Android screens and export to Figma."
Twitter Image,https://www.floow.design/og-image.png
Description to Content Consistency,0.96
Title to Content Consistency,1.0
Meta Keywords to Content Consistency,0.667
Automated Readability Index,8.235
Coleman Liau Readability Index,11.642
Dale Chall Readability Index,9.351
Flesch Kincaid Readability Index,50.773
SMOG Readability Index,10.735
